0 1 2
0 1 3
0 1 4
0 1 5
0 1 6
0 1 8
0 1 9
0 1 10
0 1 11
0 1 12
0 1 13
0 1 14
0 1 15
0 1 16
0 1 17
0 1 19
0 2 3
0 2 4
0 2 5
0 2 6
0 2 10
0 2 11
0 2 19
0 3 4
0 3 5
0 3 6
0 3 8
0 3 9
0 3 10
0 3 11
0 3 12
0 3 13
0 3 14
0 3 15
0 3 16
0 3 17
0 3 18
0 3 19
0 4 5
0 4 7
0 4 8
0 4 9
0 4 10
0 4 11
0 4 12
0 4 13
0 4 14
0 4 15
0 4 16
0 4 17
0 4 18
0 4 19
0 5 6
0 5 7
0 5 8
0 5 9
0 5 10
0 5 11
0 5 12
0 5 13
0 5 14
0 5 15
0 5 16
0 5 17
0 5 18
0 5 19
0 6 7
0 6 8
0 6 9
0 6 10
0 6 11
0 6 12
0 10 19
0 11 19
0 12 17
0 14 16
0 18 19
1 2 3
1 2 4
1 2 5
1 2 7
1 2 11
1 2 12
1 2 15
1 2 19
1 3 4
1 3 6
1 3 7
1 3 8
1 3 9
1 3 10
1 3 11
1 3 12
1 3 13
1 3 14
1 3 15
1 3 16
1 3 17
1 3 18
1 3 19
1 4 7
1 4 9
1 4 11
1 4 12
1 4 13
1 4 15
1 4 16
1 4 17
1 4 19
1 5 6
1 5 8
1 5 9
1 5 10
1 5 11
1 5 12
1 5 13
1 6 15
1 6 19
1 8 9
1 8 10
1 8 11
1 8 13
1 8 16
1 8 17
1 8 18
1 8 19
1 9 10
1 9 11
1 9 12
1 9 13
1 9 14
1 9 18
1 10 14
1 13 16
1 15 16
1 15 17
1 15 18
1 18 19
2 3 6
2 3 7
2 3 8
2 3 9
2 3 10
2 3 11
2 3 12
2 3 13
2 3 14
2 3 15
2 3 16
2 3 17
2 4 7
2 4 10
2 4 11
2 4 13
2 4 14
2 4 15
2 4 16
2 4 17
2 4 18
2 4 19
2 5 7
2 5 9
2 5 13
2 5 14
2 5 15
2 5 16
2 5 17
2 6 7
2 6 9
2 6 11
2 6 12
2 6 13
2 6 14
2 6 15
2 6 16
2 6 17
2 6 18
2 6 19
2 7 9
2 7 10
2 7 11
2 7 12
2 7 13
2 7 14
2 7 15
2 7 16
2 7 17
2 7 18
2 7 19
2 8 9
2 8 10
2 10 17
2 12 14
2 12 19
2 13 14
2 14 17
2 15 17
2 15 19
2 17 19
3 6 16
3 6 17
3 6 18
3 10 13
3 10 14
3 10 17
3 10 18
3 10 19
3 11 14
3 11 15
3 11 16
3 12 13
3 12 14
3 13 14
3 13 17
3 13 18
3 13 19
3 14 16
