0 1 2 3 4 5 6 7 8
0 1 2 4 6 12 15 17 18
0 1 2 5 6 9 11 14 15
0 1 3 5 6 10 11 13 16
0 2 4 5 9 12 14 17 19
0 2 4 6 7 9 10 14 18
0 2 9 10 12 13 15 18 19
0 3 4 6 8 12 14 16 17
0 3 4 7 8 9 11 13 16
0 3 4 7 8 10 12 15 18
0 3 5 7 8 13 14 17 19
0 3 7 9 10 16 17 18 19
0 3 9 11 12 14 15 16 19
0 3 10 11 13 14 15 17 18
0 4 7 12 13 14 16 18 19
1 2 3 6 8 9 11 16 17
1 2 4 6 7 10 13 16 17
1 2 4 7 8 9 12 13 18
1 2 5 8 14 15 17 18 19
1 2 9 10 11 13 14 16 19
1 3 4 5 8 11 13 15 18
1 3 4 6 7 11 13 14 19
1 5 6 11 12 14 16 17 19
1 5 7 8 9 10 11 16 18
1 9 11 12 13 15 16 17 18
2 3 4 5 7 10 11 17 19
2 3 5 6 7 12 14 15 19
2 4 5 8 10 12 13 15 17
2 6 8 10 12 16 17 18 19
3 6 7 8 10 13 14 15 16
4 5 8 9 12 15 16 18 19
5 6 7 9 10 11 12 13 15
