0 1 2 3 4
0 1 11 12 13
0 1 20 21 22
0 2 6 9 12
0 2 7 10 13
0 2 14 17 20
0 2 15 18 21
0 2 16 19 22
0 3 6 8 14
0 3 17 21 23
0 4 6 11 16
0 5 12 15 19
0 12 14 22 23
1 2 7 11 16
1 3 13 15 17
1 3 16 18 20
1 4 8 14 18
1 5 10 13 16
1 5 19 21 23
1 6 15 18 22
1 7 8 15 19
1 8 11 17 20
1 9 12 18 23
1 11 14 19 22
2 3 7 8 9
2 4 5 7 17
2 4 8 10 16
2 4 20 21 23
2 7 14 19 21
2 9 10 17 21
2 10 14 18 23
3 4 5 16 22
3 4 12 15 18
3 5 11 20 23
3 6 12 13 23
3 7 12 20 22
3 8 10 15 21
3 10 13 19 22
4 7 14 16 20
4 7 15 22 23
4 8 17 19 21
4 9 12 14 21
4 11 12 17 23
5 6 11 12 18
5 6 13 14 21
5 6 15 16 17
5 6 19 20 22
5 7 8 10 20
5 7 9 11 22
5 9 10 15 18
6 7 8 11 23
6 8 16 18 21
6 9 13 15 19
6 9 14 17 23
7 8 13 14 17
7 16 17 18 22
8 9 13 16 20
8 9 18 19 22
9 10 11 13 14
9 12 17 19 20
10 11 15 16 19
10 12 13 18 21
10 13 17 20 23
11 13 15 20 22
