0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
0 1 2 3 4 5 6 7 8 9 10 11 12 15 16
0 1 2 3 4 5 6 7 8 9 10 11 12 17 18
0 1 2 3 4 5 6 7 8 9 10 11 12 19 20
0 1 2 3 4 5 6 7 8 9 10 11 12 21 22
0 1 2 3 4 5 6 7 8 9 10 11 13 15 17
0 1 2 3 4 5 6 7 8 9 10 11 13 19 21
0 1 2 3 4 5 6 7 8 9 10 11 13 20 22
0 1 2 3 4 5 6 7 8 9 10 11 14 15 18
0 1 2 3 4 5 6 7 8 9 10 11 14 16 17
0 1 2 3 4 5 6 7 8 9 10 11 14 19 22
0 1 2 3 4 5 6 7 8 9 10 11 14 20 21
0 1 2 3 4 5 6 7 8 9 10 11 15 19 23
0 1 2 3 4 5 6 7 8 9 10 11 16 20 23
0 1 2 3 4 5 6 7 8 9 10 11 17 21 23
0 1 2 3 4 5 6 7 8 9 10 11 18 22 23
0 1 2 3 4 5 6 7 8 9 10 12 13 15 18
0 1 2 3 4 5 6 7 8 9 10 12 13 16 17
0 1 2 3 4 5 6 7 8 9 10 12 13 19 22
0 1 2 3 4 5 6 7 8 9 10 12 13 20 21
0 1 2 3 4 5 6 7 8 9 10 12 14 15 17
0 1 2 3 4 5 6 7 8 9 10 12 14 16 18
0 1 2 3 4 5 6 7 8 9 10 12 14 19 21
0 1 2 3 4 5 6 7 8 9 10 12 14 20 22
0 1 2 3 4 5 6 7 8 9 10 12 15 20 23
0 1 2 3 4 5 6 7 8 9 10 12 16 19 23
0 1 2 3 4 5 6 7 8 9 10 12 17 22 23
0 1 2 3 4 5 6 7 8 9 10 12 18 21 23
0 1 2 3 4 5 6 7 8 9 10 13 14 15 16
0 1 2 3 4 5 6 7 8 9 10 13 14 17 18
0 1 2 3 4 5 6 7 8 9 10 13 14 19 20
0 1 2 3 4 5 6 7 8 9 10 13 14 21 22
0 1 2 3 4 5 6 7 8 9 10 13 15 21 23
0 1 2 3 4 5 6 7 8 9 10 13 16 22 23
0 1 2 3 4 5 6 7 8 9 10 13 17 19 23
0 1 2 3 4 5 6 7 8 9 10 13 18 20 23
0 1 2 3 4 5 6 7 8 9 10 14 15 22 23
0 1 2 3 4 5 6 7 8 9 10 14 16 21 23
0 1 2 3 4 5 6 7 8 9 10 14 17 20 23
0 1 2 3 4 5 6 7 8 9 10 14 18 19 23
0 1 2 3 4 5 6 7 8 9 10 15 16 17 18
0 1 2 3 4 5 6 7 8 9 10 15 16 19 20
0 1 2 3 4 5 6 7 8 9 10 15 16 21 22
0 1 2 3 4 5 6 7 8 9 10 15 17 19 21
0 1 2 3 4 5 6 7 8 9 10 15 17 20 22
0 1 2 3 4 5 6 7 8 9 10 15 18 19 22
0 1 2 3 4 5 6 7 8 9 10 15 18 20 21
0 1 2 3 4 5 6 7 8 9 10 16 17 19 22
0 1 2 3 4 5 6 7 8 9 10 16 17 20 21
0 1 2 3 4 5 6 7 8 9 10 16 18 19 21
0 1 2 3 4 5 6 7 8 9 10 16 18 20 22
0 1 2 3 4 5 6 7 8 9 10 17 18 19 20
0 1 2 3 4 5 6 7 8 9 10 17 18 21 22
0 1 2 3 4 5 6 7 8 9 10 19 20 21 22
0 1 2 3 4 5 6 7 8 9 11 12 13 15 19
0 1 2 3 4 5 6 7 8 9 11 12 13 16 20
0 1 2 3 4 5 6 7 8 9 11 12 13 17 21
0 1 2 3 4 5 6 7 8 9 11 12 13 18 22
0 1 2 3 4 5 6 7 8 9 11 12 14 15 20
0 1 2 3 4 5 6 7 8 9 11 12 14 16 19
