0 1 2 3 4 5 6
0 1 2 27 28 29 30
0 1 3 8 12 16 20
0 1 4 10 13 16 19
0 2 6 7 13 17 19
0 3 4 25 26 29 30
0 5 6 17 18 21 22
0 5 8 15 25 29 31
0 5 9 15 18 24 28
0 5 10 20 22 25 30
0 9 10 23 26 28 30
0 11 12 15 18 20 22
0 11 12 23 25 27 30
0 13 14 24 26 27 30
1 2 5 9 13 15 19
1 3 6 16 18 29 31
1 4 9 18 24 25 30
1 4 10 12 18 20 23
1 4 21 23 26 28 31
1 7 8 11 14 20 22
1 7 9 13 14 23 24
1 8 9 11 12 15 17
1 11 17 24 29 30 31
1 16 19 25 26 28 30
2 3 4 12 13 27 30
2 3 6 15 17 26 30
2 3 6 16 20 21 23
2 5 6 8 10 15 28
2 5 6 19 23 26 31
2 6 13 16 26 27 29
2 7 9 14 20 26 31
2 8 10 11 12 20 21
2 8 10 16 18 23 31
2 13 20 23 24 27 31
3 5 6 8 14 16 22
3 7 8 10 12 15 22
3 7 11 24 25 26 27
3 8 9 10 14 17 20
3 8 11 12 14 18 19
3 10 14 26 27 28 29
3 18 21 22 28 29 30
4 7 8 18 20 28 31
4 7 9 10 14 16 22
4 7 11 12 14 15 21
4 9 11 15 16 18 19
4 9 11 17 20 21 22
4 13 15 19 20 22 23
4 13 19 24 25 26 31
5 7 11 13 14 16 19
5 9 14 15 16 17 21
5 10 13 17 19 20 21
5 12 21 23 27 28 29
5 18 22 23 24 26 27
6 7 9 10 12 17 21
6 7 17 18 24 25 31
6 7 22 24 27 28 29
6 8 11 13 14 17 21
7 10 16 18 25 29 30
8 17 21 24 25 26 29
9 14 15 19 23 25 27
11 21 22 25 27 29 31
12 13 19 23 24 28 30
12 15 22 24 25 28 31
16 17 19 27 28 29 31
