0 1 2
0 1 7
0 1 16
0 1 19
0 1 22
0 1 30
0 2 25
0 3 20
0 9 16
0 12 29
0 12 30
0 12 31
0 13 14
0 13 15
0 13 16
0 13 20
0 13 21
0 13 22
0 13 23
0 13 24
0 13 26
0 14 15
0 14 18
0 14 19
0 14 21
0 14 22
0 14 23
0 14 28
0 15 22
0 15 23
0 15 26
0 15 27
0 15 28
0 15 29
0 15 30
0 15 31
0 16 17
0 16 18
0 16 19
0 16 20
0 16 21
0 19 23
0 23 26
0 24 25
0 24 27
0 25 30
0 27 28
0 28 31
1 2 25
1 7 20
1 8 23
1 10 27
1 11 20
1 11 21
1 11 23
1 11 24
1 11 25
1 11 26
1 11 27
1 12 16
1 12 19
1 12 20
1 12 21
1 12 22
1 13 28
1 14 15
1 14 16
1 15 16
1 15 29
1 16 18
1 16 19
1 16 20
1 16 21
1 16 23
1 16 24
1 16 25
1 16 26
1 16 27
1 19 21
1 19 22
1 19 31
1 20 28
1 20 29
1 22 23
1 23 24
1 23 30
1 26 31
1 27 29
1 29 31
1 30 31
2 11 22
2 12 29
2 12 31
2 13 16
2 13 19
2 13 22
2 13 23
2 13 24
2 13 25
2 13 26
2 13 27
2 13 28
2 16 19
2 16 28
2 16 29
2 16 30
2 16 31
2 17 18
2 17 19
2 17 20
2 17 21
2 17 22
2 17 23
2 17 24
2 17 26
2 17 27
2 17 29
2 17 30
2 17 31
2 18 19
2 18 20
2 18 21
2 18 23
2 18 24
2 18 25
2 18 26
2 18 27
2 18 28
2 18 29
2 18 30
2 18 31
2 19 20
2 19 28
2 23 26
2 24 26
3 5 30
3 5 31
3 6 7
3 6 8
3 6 9
3 6 11
3 6 13
3 6 18
3 6 19
3 6 20
3 6 21
3 6 22
3 6 23
3 6 24
3 6 25
3 6 26
3 6 27
3 6 28
3 6 29
3 6 31
3 7 8
3 7 9
3 7 10
3 7 11
3 7 12
3 7 13
3 7 18
3 7 20
3 7 21
3 7 22
3 7 23
3 7 24
3 7 25
3 7 26
3 7 27
3 7 28
3 7 29
3 7 30
3 7 31
3 8 9
3 8 10
3 8 11
3 9 30
3 9 31
3 22 28
3 23 31
3 25 28
4 6 15
4 6 18
4 6 19
4 6 20
4 6 21
4 6 22
4 6 23
4 6 24
4 6 25
4 6 26
4 6 27
4 7 13
4 7 15
4 7 17
4 7 19
4 7 20
4 7 21
4 7 22
4 7 23
4 7 24
4 7 25
4 7 26
4 7 27
4 7 28
4 7 29
4 7 30
4 7 31
4 8 9
