0 1 2
0 3 4
0 7 8
0 23 24
0 25 26
0 29 30
1 3 5
1 4 6
1 11 13
1 15 17
1 24 26
2 3 6
2 4 5
2 15 18
2 16 17
2 19 22
3 8 12
3 9 13
3 10 14
3 26 30
4 7 12
4 9 14
4 10 13
5 8 14
5 15 21
5 23 29
5 25 27
6 16 21
6 17 20
6 18 19
6 24 29
7 16 24
7 17 25
7 19 27
7 20 28
7 22 30
8 19 28
8 20 27
8 22 29
9 17 23
9 18 24
9 21 27
9 22 28
10 15 26
10 16 25
10 18 23
10 19 30
10 21 28
11 15 27
11 16 28
11 18 30
11 20 24
11 21 25
12 15 28
12 18 29
12 20 23
12 21 26
13 15 29
13 16 30
13 17 27
13 22 24
14 19 26
14 20 25
14 22 23
