0 1 2 3 4 5 6
0 1 12 13 14 15 16
0 1 17 18 19 20 21
0 1 22 23 24 25 26
0 2 7 12 17 22 27
0 2 10 15 20 25 30
0 2 11 16 21 26 31
0 3 7 13 19 25 31
0 3 10 16 18 24 27
0 5 8 15 17 24 31
1 2 7 13 21 24 30
1 2 8 14 20 22 31
1 2 9 15 18 26 27
1 2 10 16 17 23 29
1 2 11 12 19 25 28
1 3 11 13 18 22 29
1 4 7 12 18 23 31
1 4 10 14 19 26 30
2 5 11 20 23 24 27
3 4 10 13 20 21 23
3 5 9 16 17 19 26
3 6 7 9 14 20 27
4 5 7 8 19 28 29
4 5 9 11 18 21 30
4 6 9 12 15 17 29
4 6 10 11 22 27 31
5 6 7 13 15 22 23
5 6 10 21 24 26 29
5 12 14 22 24 28 30
6 11 13 20 26 28 30
6 12 16 21 23 27 28
6 14 15 18 19 28 31
