0 1 2 3 4 5
0 1 6 7 8 9
0 1 10 11 12 13
0 1 18 19 20 21
0 1 22 23 24 25
0 4 6 12 17 19
1 3 7 11 14 18
2 5 7 8 27 28
2 7 14 17 24 29
2 9 18 20 22 27
2 11 14 16 25 30
2 12 18 21 29 30
3 7 15 16 25 28
3 9 19 21 23 26
3 11 15 17 29 30
3 12 19 20 28 31
4 5 22 23 26 27
4 9 15 16 22 29
4 10 16 25 27 31
4 11 18 21 23 28
5 6 14 24 27 30
5 8 15 16 24 26
5 10 17 28 30 31
6 8 10 13 16 17
6 8 20 21 30 31
6 11 19 22 23 31
7 9 10 13 14 15
8 9 22 25 26 28
10 13 20 21 26 27
12 13 15 19 24 29
12 14 18 24 26 31
13 17 20 23 25 29
