0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 25 26 27 30 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 23 25 26 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 22 24 25 26 29 30
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 23 26 27 28 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 24 26 28 29 30
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 21 22 23 26 28 30 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 24 25 27 29 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21 22 23 25 26 27 30
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 22 25 27 28 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 20 21 23 25 26 28 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 19 20 21 22 23 25 28 29 30
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 19 20 22 24 25 26 27 28 30
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 19 20 21 22 23 24 26 27 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 19 21 22 23 25 27 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 20 21 22 23 24 26 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 19 20 21 22 24 26 27 28 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 19 20 21 23 24 25 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 19 21 25 26 27 28 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 18 19 20 21 22 23 25 28 29 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 16 17 18 19 20 21 23 25 26 27 29 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 16 17 18 19 21 22 23 24 25 26 27 28
0 1 2 3 4 5 6 7 8 9 10 11 12 13 16 17 18 20 22 23 24 25 26 28 29 31
0 1 2 3 4 5 6 7 8 9 10 11 12 13 16 18 21 22 23 24 26 27 28 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 18 19 21 22 24 27 28 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 19 20 21 22 24 25 26 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 17 18 19 20 21 22 24 25 27 29 30
0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 17 18 21 23 24 25 26 27 28 29 30
0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 17 19 20 21 23 24 25 27 28 30 31
0 1 2 3 4 5 6 7 8 9 10 11 12 15 16 17 18 21 22 23 25 26 27 28 30 31
0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 20 23 24 25 27 28 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 19 20 21 22 23 24 28 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 19 20 22 23 24 25 26 27 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 13 14 18 20 21 23 24 25 26 27 28 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 13 15 16 17 18 19 20 22 23 24 25 26 27 31
0 1 2 3 4 5 6 7 8 9 10 11 13 16 17 18 19 20 21 22 23 26 27 28 30 31
0 1 2 3 4 5 6 7 8 9 10 11 13 17 19 20 21 22 23 24 25 26 28 29 30 31
0 1 2 3 4 5 6 7 8 9 10 11 14 15 16 17 18 19 20 21 22 23 27 28 29 30
0 1 2 3 4 5 6 7 8 9 10 11 14 15 16 17 18 19 20 21 22 24 26 27 30 31
0 1 2 3 4 5 6 7 8 9 10 11 14 15 16 17 18 19 20 21 23 25 26 27 28 31
0 1 2 3 4 5 6 7 8 9 10 11 15 16 17 19 21 22 23 24 25 27 28 29 30 31
0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 19 20 22 23 24 25 26 28 30 31
0 1 2 3 4 5 6 7 8 9 10 12 13 14 16 17 18 19 20 22 23 24 25 27 30 31
0 1 2 3 4 5 6 7 8 9 10 12 13 15 16 17 18 20 21 22 23 24 25 26 29 30
0 1 2 3 4 5 6 7 8 9 10 12 13 15 16 17 18 20 22 23 24 27 28 29 30 31
0 1 2 3 4 5 6 7 8 9 10 12 14 15 16 17 18 20 21 22 23 24 25 26 27 28
0 1 2 3 4 5 6 7 8 9 10 12 14 15 16 19 20 21 22 23 26 27 28 29 30 31
