0 1 2
0 5 6
0 7 8
0 15 16
0 21 22
0 23 24
1 3 5
1 7 9
1 8 10
1 15 17
1 19 21
1 23 25
2 4 5
2 11 14
2 12 13
2 20 21
2 23 26
2 28 29
3 7 11
3 8 12
3 9 13
3 16 20
3 23 27
4 15 20
4 18 21
4 23 28
4 24 27
4 26 29
5 7 13
5 17 19
5 26 28
6 9 12
6 10 11
6 15 22
6 16 21
6 17 20
7 16 24
7 19 27
8 15 24
8 18 25
8 22 29
9 15 25
9 18 24
9 22 28
10 16 25
10 17 24
10 20 29
10 22 27
11 17 29
11 19 23
11 21 25
11 22 26
12 15 28
12 16 27
12 18 29
13 17 27
13 18 28
13 19 25
13 20 26
14 16 29
14 18 27
14 19 26
14 20 25
14 21 24
