0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
0 1 2 3 4 5 6 7 8 9 10 17 18 19 20 21 22
0 1 2 3 4 5 6 7 11 12 13 17 18 19 23 24 25
0 1 2 3 4 5 6 7 14 15 16 20 21 22 23 24 25
0 1 2 3 4 8 9 10 11 12 13 20 21 22 23 24 25
0 1 2 3 4 8 9 10 14 15 16 17 18 19 23 24 25
0 1 2 3 4 11 12 13 14 15 16 17 18 19 20 21 22
0 1 2 5 6 8 9 11 12 14 15 17 18 20 21 23 24
0 1 2 5 6 8 10 11 13 14 16 17 19 20 22 23 25
0 1 2 5 6 9 10 12 13 15 16 18 19 21 22 24 25
0 1 3 5 7 8 9 11 12 14 16 17 19 21 22 24 25
0 1 3 5 7 8 10 11 13 15 16 18 19 20 21 23 24
0 1 3 5 7 9 10 12 13 14 15 17 18 20 22 23 25
0 1 4 6 7 8 9 11 12 15 16 18 19 20 22 23 25
0 1 4 6 7 8 10 11 13 14 15 17 18 21 22 24 25
0 1 4 6 7 9 10 12 13 14 16 17 19 20 21 23 24
