0 1 2 3 4 5 6 7
0 1 3 8 13 18 23 24
0 1 4 9 14 19 23 25
0 2 3 9 16 21 24 25
0 2 4 10 17 22 23 24
0 2 6 11 13 20 23 25
0 3 4 8 9 15 17 20
0 3 5 8 10 16 19 22
0 3 5 11 12 17 18 25
0 3 6 12 14 15 19 24
0 4 5 12 15 16 21 23
0 5 6 9 13 17 19 21
0 6 7 8 10 14 17 18
0 7 11 16 17 19 20 24
1 2 3 12 15 22 23 25
1 3 4 10 12 16 18 20
1 3 5 9 11 13 20 22
1 3 6 8 11 15 16 21
1 3 7 9 10 17 21 23
1 4 5 8 14 15 18 22
1 4 7 13 15 19 21 24
1 6 7 14 16 20 22 25
2 3 7 14 16 18 19 23
2 4 5 8 13 16 20 24
2 4 6 9 12 14 20 21
2 4 7 10 11 15 16 25
2 5 10 12 13 14 19 25
4 8 11 17 18 19 21 23
5 6 7 10 11 12 21 22
6 12 13 17 18 20 22 24
7 8 9 11 13 14 15 23
7 9 10 18 19 22 24 25
