0 1 2 3
0 1 2 8
0 1 19 21
0 1 19 22
0 1 19 23
0 1 19 25
0 1 20 21
0 1 20 22
0 1 20 23
0 1 20 25
0 1 21 22
0 1 21 24
0 1 21 25
0 1 22 23
0 1 22 24
0 1 22 25
0 1 23 24
0 1 23 25
0 1 24 25
0 2 3 4
0 2 3 8
0 2 3 9
0 2 3 10
0 2 3 12
0 2 3 14
0 2 3 15
0 2 3 17
0 2 3 18
0 2 3 19
0 2 3 20
0 2 3 21
0 2 3 22
0 2 3 23
0 2 3 24
0 2 3 25
0 2 4 5
0 2 4 8
0 2 4 9
0 2 4 12
0 2 4 13
0 2 4 14
0 2 4 15
0 2 4 16
0 2 4 17
0 2 4 19
0 2 4 20
0 2 4 22
0 2 4 24
0 2 4 25
0 2 5 8
0 2 5 9
0 2 5 10
0 2 5 12
0 2 5 13
0 2 5 14
0 2 5 15
0 2 5 16
0 2 5 17
0 2 5 18
0 2 5 19
0 2 5 20
0 2 5 21
0 2 5 22
0 2 5 23
0 2 5 24
0 2 5 25
0 2 8 9
0 2 8 13
0 2 8 14
0 2 8 15
0 2 12 22
0 2 12 24
0 2 12 25
0 2 13 14
0 2 13 16
0 2 13 17
0 2 13 18
0 2 13 19
0 2 13 22
0 2 13 24
0 2 13 25
0 2 14 15
0 2 14 16
0 2 14 17
0 2 14 18
0 2 14 19
0 2 14 20
0 2 14 21
0 2 14 22
0 2 14 23
0 2 14 25
0 2 15 16
0 2 15 17
0 2 15 18
0 2 15 19
0 2 15 20
0 4 9 18
0 4 9 23
0 4 12 21
0 4 15 16
0 4 17 25
0 5 7 10
0 5 9 19
0 5 10 21
0 5 10 24
0 5 12 14
0 5 16 25
0 6 7 23
0 6 19 23
0 8 13 19
0 8 13 20
0 8 13 21
0 8 13 22
0 8 13 24
0 8 13 25
0 8 14 15
0 8 14 16
0 8 14 17
0 8 14 18
0 8 14 19
0 8 14 20
0 8 14 21
0 8 14 22
0 8 14 23
0 8 14 24
0 8 14 25
0 8 15 17
0 8 15 18
0 8 15 20
0 8 15 21
0 8 15 22
0 8 15 24
0 8 15 25
0 8 16 18
0 8 16 19
0 8 16 20
0 8 16 22
0 8 16 23
0 8 17 22
0 8 19 21
0 8 19 24
0 8 19 25
0 8 20 21
0 8 20 22
0 8 20 23
0 9 10 19
0 9 12 15
0 9 12 25
0 9 14 25
0 9 16 19
0 11 13 24
0 12 14 15
0 12 15 18
0 12 15 20
0 12 15 24
0 12 16 25
0 15 20 21
1 2 3 16
1 2 3 19
1 2 16 19
1 3 16 19
1 4 7 14
1 4 9 21
1 4 9 24
1 4 17 23
1 5 9 19
1 5 12 21
1 5 15 16
1 5 16 17
1 7 17 18
1 7 17 20
1 7 17 22
1 7 17 23
1 7 17 24
1 7 17 25
1 7 18 19
1 7 18 20
1 7 18 22
1 7 18 23
1 7 18 24
1 7 18 25
1 7 19 20
1 7 19 21
1 7 19 22
1 7 19 23
1 7 19 25
1 7 20 21
1 7 20 22
1 7 20 23
1 7 20 24
1 7 20 25
1 7 21 25
1 7 22 23
1 7 22 24
1 7 23 24
1 8 9 10
1 8 9 13
1 8 9 14
1 8 9 15
1 8 9 16
1 8 9 22
1 8 9 25
1 8 10 11
1 8 10 12
1 8 10 13
1 8 10 15
1 8 10 16
1 8 10 17
1 8 10 18
1 8 10 19
1 8 10 21
1 8 10 22
1 8 10 23
1 8 10 25
1 8 11 12
1 8 11 14
1 8 11 16
1 8 11 17
1 8 11 18
1 8 11 23
1 8 11 24
1 8 12 13
1 8 12 14
1 8 12 15
1 8 12 16
1 8 17 20
1 8 17 21
1 8 17 22
1 9 10 12
1 9 10 19
1 9 12 21
1 9 14 22
1 9 16 20
1 9 17 21
1 9 19 20
1 12 16 24
1 12 18 20
1 12 18 23
1 14 15 18
1 14 20 21
1 15 20 24
1 15 20 25
1 15 21 22
1 15 21 23
1 15 21 24
1 15 21 25
1 15 22 23
1 15 22 24
1 15 22 25
1 15 23 24
1 15 23 25
1 15 24 25
1 16 17 18
1 16 17 19
1 16 23 25
1 17 23 24
1 17 23 25
1 17 24 25
1 18 19 20
1 18 19 21
1 18 19 22
1 18 19 23
1 18 19 24
1 18 19 25
1 18 20 21
1 18 20 22
1 18 20 23
1 18 20 24
1 18 20 25
1 18 21 22
1 18 21 23
1 18 21 24
1 18 21 25
1 18 22 23
1 18 22 24
1 18 22 25
1 18 23 24
1 18 23 25
1 18 24 25
1 19 20 21
1 19 20 22
1 19 20 23
1 19 20 24
1 19 20 25
1 20 22 24
1 20 22 25
1 20 23 24
1 20 23 25
1 20 24 25
1 21 22 23
1 21 22 24
1 22 23 24
1 22 23 25
1 22 24 25
1 23 24 25
2 3 5 6
2 3 6 10
2 4 5 6
2 4 5 10
2 4 6 10
2 4 9 23
2 4 21 23
2 5 6 10
2 5 6 12
2 5 6 13
2 5 6 14
2 5 6 15
2 5 6 16
2 5 6 19
2 5 6 20
2 5 6 21
2 5 6 22
2 5 6 23
2 5 6 24
2 5 6 25
2 5 7 10
2 6 10 17
2 6 10 19
2 6 10 20
2 6 10 21
2 6 10 22
2 6 10 23
2 6 10 24
2 6 10 25
2 6 13 17
2 8 14 15
2 8 14 16
2 8 14 18
2 8 14 19
2 8 14 20
2 8 14 21
2 8 14 22
2 8 14 23
2 8 14 25
2 8 15 16
2 8 15 17
2 8 15 18
2 8 15 19
2 8 15 21
2 8 15 22
2 8 15 23
2 8 15 24
2 8 15 25
2 8 16 17
2 8 16 18
2 8 16 19
2 8 16 20
2 8 16 22
2 8 16 23
2 8 16 25
2 8 17 18
2 8 17 19
2 8 17 25
2 8 18 21
2 8 18 22
2 8 18 23
2 8 18 24
2 8 18 25
2 8 19 20
2 8 19 21
2 8 19 22
2 8 19 23
2 8 19 24
2 8 19 25
2 8 20 22
2 8 20 23
2 8 20 24
2 8 20 25
2 8 21 22
2 9 12 17
2 9 16 21
3 7 16 24
3 7 16 25
3 7 17 19
3 7 17 20
3 8 10 11
3 9 10 13
3 9 11 12
3 9 11 15
3 9 11 18
3 9 11 21
3 9 11 22
3 9 11 23
3 9 11 25
3 9 12 13
3 9 13 14
3 9 13 15
3 9 13 17
3 9 13 18
3 9 13 19
3 9 13 21
3 9 13 23
3 9 13 25
3 9 14 21
3 10 11 12
3 10 11 13
3 10 11 14
3 10 11 15
3 10 11 17
3 10 11 19
3 10 11 20
3 10 11 22
3 10 11 23
3 10 11 24
3 10 13 14
3 10 13 15
3 10 13 17
3 10 13 18
3 10 13 19
3 10 13 20
3 10 13 22
3 10 13 23
3 10 13 24
3 11 12 14
3 11 12 15
3 11 12 17
3 11 12 18
3 11 12 19
3 11 12 20
3 11 12 21
3 11 12 22
3 11 12 24
3 11 12 25
3 11 13 14
3 11 13 15
3 11 13 21
3 11 13 24
3 11 13 25
3 11 14 15
3 11 14 17
3 11 14 20
