0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
0 1 2 3 4 5 6 7 8 9 10 11 12 13 16 17 20 21 24 25
0 1 2 3 4 5 6 7 8 9 10 11 12 13 18 19 22 23 24 25
0 1 2 3 4 5 6 7 8 9 10 11 14 15 16 17 22 23 24 25
0 1 2 3 4 5 6 7 14 15 16 17 18 19 20 21 22 23 24 25
0 1 2 3 4 5 8 9 10 11 12 13 14 15 16 19 20 23 24 25
0 1 2 3 4 5 8 9 12 13 16 17 18 19 20 21 22 23 24 25
0 1 2 3 4 6 7 8 10 11 12 14 15 17 18 19 21 22 23 25
0 1 2 3 4 6 7 9 10 11 12 14 15 16 17 18 20 21 22 24
0 1 2 3 4 7 8 9 10 11 12 13 15 16 17 19 21 22 23 24
0 1 2 3 4 7 9 11 12 13 14 15 18 19 20 21 22 23 24 25
0 1 2 3 5 6 7 8 9 10 13 14 16 17 18 19 20 23 24 25
0 1 2 3 5 6 7 8 10 11 13 14 15 16 17 18 20 21 22 25
0 1 2 3 5 6 8 10 12 13 14 15 18 19 20 21 22 23 24 25
0 1 2 3 5 6 9 11 12 13 14 15 16 17 18 19 20 21 24 25
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
