0 1 2 3 4 5 6 7
0 1 2 8 9 10 11 12
0 3 5 9 11 20 25 26
0 3 6 13 16 21 22 26
0 4 6 8 19 20 24 26
0 5 7 8 12 14 21 26
0 5 10 14 15 18 20 27
0 7 10 12 16 18 24 25
0 7 11 13 14 19 20 23
0 9 12 15 18 19 23 26
1 3 4 8 10 21 25 26
1 3 7 15 17 19 23 25
1 4 5 9 14 17 19 26
1 4 6 8 17 18 22 27
1 5 6 12 15 19 22 24
1 5 7 11 17 18 20 24
1 6 10 14 16 19 21 27
2 3 4 10 12 14 24 27
2 3 5 13 15 20 22 23
2 3 6 11 16 17 24 25
2 4 6 8 9 15 21 23
2 4 12 15 17 22 25 26
2 7 9 10 16 20 23 27
2 8 9 13 16 19 22 24
3 8 14 16 17 23 26 27
4 6 7 13 15 16 18 20
5 7 18 21 22 23 25 27
8 9 11 14 20 21 22 27
8 10 11 13 15 17 18 21
9 11 12 13 16 21 23 25
10 11 12 13 20 22 24 26
13 14 17 18 19 24 25 27
