0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 24 25
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 26 27
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 23 25 26
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 23 24 26
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 22 23 24 25
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 22 23 26 27
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 22 23 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 24 25 26 27
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 24 25 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 26 27 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 24 28
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 22 23 27 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 25 28
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 23 25 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 21 22 23 26 28
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 20 21 22 23 24 25
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 20 21 22 23 26 27
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 20 21 22 23 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 20 21 24 25 26 27
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 20 21 24 25 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 20 21 26 27 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 22 23 24 25 26 27
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 22 23 24 25 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 22 23 26 27 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 24 25 26 27 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 21 22 23 24 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 20 21 22 23 24 26
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 21 23 27 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 21 22 23 25 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 19 20 21 22 23 24 25
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 19 20 21 22 23 26 27
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 19 20 21 22 23 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 19 20 21 24 25 26 27
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 19 20 21 24 25 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 19 20 21 26 27 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 19 22 23 24 25 26 27
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 19 22 23 24 25 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 19 22 23 26 27 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 18 19 24 25 26 27 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 20 21 22 23 24 25 26 27
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 20 21 22 23 24 25 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 20 21 22 23 26 27 28 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 24 26 28
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 24 27 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 25 26 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 25 27 28
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 22 26 27 28
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 21 22 26 27 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 21 23 24 25 28
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 22 23 24 26 28
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 22 23 24 27 29
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 22 23 25 26 29
