0 1 2 3 4 5 6 7
0 1 2 3 24 25 26 27
0 1 4 6 8 10 24 25
0 1 4 6 9 11 26 27
0 1 4 7 8 21 23 26
0 1 5 6 8 20 22 26
0 1 5 6 9 21 23 24
0 1 5 7 12 15 20 23
0 1 8 9 16 17 24 26
0 1 8 9 18 19 25 27
0 1 8 10 12 14 26 27
0 1 10 11 16 17 25 27
0 1 10 11 18 20 23 26
0 1 10 12 15 18 19 24
0 1 10 17 19 21 22 26
0 1 16 18 21 22 24 25
0 1 17 19 20 23 24 25
0 2 4 5 12 14 24 25
0 2 4 5 13 15 26 27
0 2 4 6 16 17 24 27
0 2 4 6 18 19 25 26
0 2 5 6 8 9 16 25
0 2 5 6 10 11 18 24
0 2 7 9 11 13 15 25
0 2 12 14 16 17 21 22
0 2 12 15 17 18 25 27
0 2 13 14 16 19 24 26
0 2 16 18 21 23 26 27
0 3 4 5 12 20 22 27
0 3 4 5 13 21 23 25
0 3 4 6 12 13 16 26
0 3 4 6 14 15 18 24
0 7 10 21 23 24 25 27
0 7 11 20 22 25 26 27
0 8 13 14 17 24 25 27
0 9 11 12 15 16 24 27
0 9 14 20 21 24 26 27
1 2 4 5 12 21 23 27
1 2 4 6 14 15 16 25
1 2 9 10 16 17 20 22
1 3 4 5 12 15 16 19
1 3 4 7 8 9 16 25
1 3 4 9 13 15 24 26
1 3 5 6 8 18 19 24
1 3 5 6 10 11 16 26
1 3 6 11 13 15 25 27
1 4 8 11 17 18 24 27
1 4 8 12 13 15 17 23
1 4 9 10 16 19 24 27
1 4 12 13 19 25 26 27
1 6 14 15 17 24 26 27
1 7 8 9 10 14 19 22
1 7 8 13 16 20 22 23
1 7 9 13 14 15 17 20
1 7 11 14 19 20 21 23
1 9 11 12 15 17 25 26
1 12 14 21 23 24 25 26
2 3 4 6 8 10 26 27
2 3 4 6 9 11 24 25
2 3 5 8 10 21 23 24
2 3 5 9 11 20 22 26
2 3 7 8 10 20 22 25
2 3 7 9 11 21 23 27
2 3 8 11 12 14 20 21
2 3 8 11 16 19 24 27
2 3 9 10 17 18 24 26
2 3 14 15 17 18 20 22
2 4 5 7 9 14 17 22
2 4 7 8 9 18 19 24
2 4 17 19 20 22 24 26
2 5 7 8 12 24 26 27
2 5 8 12 16 18 19 21
2 5 10 11 19 25 26 27
2 6 8 10 11 14 17 22
2 6 8 13 15 24 25 26
2 6 9 12 14 25 26 27
2 6 10 12 14 15 18 21
3 4 10 12 13 15 18 22
3 5 6 10 17 24 25 27
3 5 8 13 18 20 21 22
3 5 9 12 19 20 21 23
3 5 9 13 14 15 19 22
3 5 10 15 16 20 22 23
3 6 10 12 16 18 19 23
3 6 10 13 14 15 17 23
3 6 11 13 16 20 21 23
3 7 8 15 16 18 19 22
3 7 8 15 17 20 21 23
3 7 9 12 13 15 16 23
3 7 10 13 16 17 18 20
3 7 11 12 18 20 22 23
3 14 15 18 19 25 26 27
4 5 8 9 16 19 20 22
4 5 9 11 12 15 22 23
4 5 9 18 24 25 26 27
4 6 10 11 12 14 24 26
4 6 10 11 13 16 18 25
4 6 10 11 15 17 19 27
4 7 8 10 14 15 17 18
4 7 8 11 17 19 22 23
4 7 9 11 12 13 17 18
4 7 13 14 18 19 20 22
5 6 8 21 23 25 26 27
5 6 10 11 12 20 23 25
5 6 13 14 18 19 21 23
5 7 8 10 16 17 21 22
5 7 8 11 12 13 21 23
5 7 8 11 14 15 20 22
5 7 9 10 12 13 20 22
5 7 12 14 17 18 20 21
5 7 13 15 16 19 20 21
6 7 9 11 13 14 22 23
6 7 10 11 17 18 21 23
6 7 12 13 16 18 21 22
6 7 14 15 17 19 21 22
6 7 16 19 24 25 26 27
8 9 17 19 20 23 26 27
8 10 13 15 16 18 21 23
8 11 13 14 16 19 21 22
9 10 13 14 16 19 20 23
9 10 13 14 17 18 21 22
9 11 12 14 17 19 20 22
9 11 13 15 17 19 21 23
10 12 15 20 24 25 26 27
11 16 18 20 23 24 25 27
11 17 19 21 22 24 25 27
12 13 14 15 16 17 18 19
12 13 14 15 20 21 22 23
