0 1 2 3
0 2 9 11
0 2 12 14
0 2 13 15
0 2 16 18
0 2 17 19
0 3 16 19
0 6 19 21
0 7 10 13
0 7 11 12
0 7 18 21
1 2 4 7
1 2 8 11
1 2 13 14
1 2 16 19
1 2 17 18
1 3 4 6
1 3 12 14
1 3 13 15
1 4 17 20
1 5 11 15
1 6 8 15
2 7 8 13
3 5 11 13
3 5 18 20
3 5 19 21
3 6 10 15
3 6 11 14
3 6 16 21
3 7 17 21
4 5 6 7
4 5 10 11
4 5 16 17
4 5 18 19
4 5 20 21
4 6 9 11
4 7 9 10
4 7 12 15
4 7 17 18
5 6 16 19
5 6 17 18
6 7 8 9
6 7 16 17
8 9 14 15
8 9 18 19
8 10 12 14
8 11 12 15
8 11 13 14
8 12 16 20
8 14 18 20
8 15 19 20
9 10 12 15
9 12 16 21
9 12 17 20
9 13 16 20
9 13 17 21
10 11 20 21
10 13 18 21
10 14 16 20
10 14 17 21
10 15 17 20
11 12 18 21
12 13 18 19
13 14 16 19
