0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
0 1 2 3 4 5 6 7 8 9 16 17 18 19 20 21
0 1 2 3 4 7 10 13 14 15 16 19 20 21 22 25
0 1 2 3 5 9 11 12 14 15 16 17 20 21 22 24
0 1 2 4 6 8 10 11 12 14 16 18 20 21 24 25
0 1 2 5 6 7 11 12 13 15 17 18 19 21 22 25
0 1 2 7 8 9 10 11 12 13 16 17 18 20 22 23
0 1 3 4 7 9 11 12 13 14 16 17 18 19 24 25
0 1 3 6 7 8 10 13 14 15 17 18 20 21 23 24
0 1 5 6 7 8 9 10 12 15 16 19 20 22 24 25
0 2 4 5 7 8 11 13 14 15 16 18 19 21 23 24
0 3 4 5 6 8 9 10 13 14 16 18 21 22 23 25
1 3 4 5 6 8 11 12 13 15 16 17 20 21 23 25
1 4 5 7 9 10 11 13 14 15 18 20 22 23 24 25
2 3 4 5 6 9 10 11 12 15 17 18 19 20 24 25
2 3 6 7 8 9 10 12 13 14 17 19 21 22 24 25
