0 1 2 3 4 5 6 7 8 9 10
0 1 2 3 4 5 11 12 13 14 15
0 1 2 3 6 7 11 12 16 17 21
0 1 2 3 8 10 12 13 17 19 25
0 1 2 4 6 7 11 15 19 24 25
0 1 2 4 6 8 13 15 17 18 21
0 1 4 8 9 10 13 15 22 23 24
0 2 6 11 14 15 20 21 22 23 25
0 5 7 8 9 10 14 16 17 20 22
0 5 8 10 13 15 18 20 21 22 25
0 5 11 12 14 15 16 18 19 20 25
0 6 7 9 10 13 17 18 21 22 24
0 7 9 11 15 16 18 19 21 23 24
1 2 3 11 12 14 18 19 21 23 25
1 2 4 9 14 15 16 19 20 21 24
1 2 8 9 12 13 16 17 18 20 24
1 3 4 7 9 10 15 16 17 18 23
1 3 6 7 9 12 13 17 22 23 25
1 4 6 7 11 12 13 14 19 20 21
1 5 7 10 13 14 15 19 22 23 25
2 3 4 5 7 10 14 18 20 22 23
2 3 5 6 12 13 14 20 22 24 25
2 3 8 9 12 16 19 22 23 24 25
2 4 5 9 10 11 13 14 21 23 24
3 4 5 6 8 10 12 13 14 16 18
3 5 7 8 11 12 16 20 21 22 23
3 6 9 14 17 18 20 21 23 24 25
3 7 10 13 14 16 17 18 19 24 25
4 5 6 8 9 11 12 18 19 20 22
4 6 7 8 10 15 16 17 19 20 21
5 6 9 11 12 15 16 17 22 23 24
5 8 11 15 17 19 20 21 23 24 25
