0 1 2
0 1 19
0 2 11
0 2 12
0 2 16
0 2 18
0 2 20
0 3 4
0 3 5
0 3 15
0 3 19
0 4 9
0 5 9
0 5 12
0 5 16
0 9 10
0 9 21
0 10 12
1 2 14
1 2 18
1 8 21
1 9 17
1 9 19
1 10 12
1 10 13
1 12 16
1 12 17
1 12 19
1 13 16
1 13 17
1 14 21
1 17 21
1 18 19
2 3 11
2 3 12
2 5 13
2 5 18
2 9 11
2 12 16
2 12 17
2 15 16
2 20 21
3 4 6
3 5 7
3 5 19
3 6 7
3 7 8
3 7 11
3 7 15
3 14 20
3 15 20
3 16 20
3 18 20
3 19 20
4 5 7
4 6 7
4 6 13
4 6 17
4 6 20
4 7 21
4 9 16
4 10 11
4 10 12
4 10 16
4 10 17
4 10 18
4 10 20
4 14 21
4 20 21
5 6 10
5 6 13
5 6 19
5 10 14
5 10 18
5 11 15
5 11 20
5 14 15
5 14 21
6 7 11
6 8 14
6 8 15
6 9 14
6 10 11
6 10 20
6 11 13
6 11 18
6 14 20
7 8 11
7 11 15
7 14 17
7 14 18
7 14 20
7 15 16
7 15 17
7 15 20
7 16 19
8 12 16
8 12 18
8 12 19
8 12 21
8 13 14
8 13 17
8 13 19
8 13 21
8 16 18
8 16 21
8 17 18
8 17 21
8 18 21
9 10 11
9 13 20
9 15 19
9 15 20
9 16 18
9 16 19
9 17 18
9 17 21
9 18 19
10 12 17
10 12 18
11 13 17
11 13 19
11 13 21
11 14 16
13 15 19
13 15 21
14 15 17
14 15 19
