0 1 2 3 4 5 6 7 8 9
0 1 2 3 5 6 10 15 21 24
0 1 2 3 5 6 11 14 20 25
0 1 2 3 5 6 12 17 19 22
0 1 2 3 5 6 13 16 18 23
0 1 2 3 5 7 10 14 19 23
0 1 2 3 5 7 11 15 18 22
0 1 2 3 5 7 12 16 21 25
0 1 2 3 5 7 13 17 20 24
0 1 2 3 5 8 10 17 18 25
0 1 2 3 5 8 11 16 19 24
0 1 2 3 5 8 12 15 20 23
0 1 2 3 5 8 13 14 21 22
0 1 2 3 5 9 10 16 20 22
0 1 2 3 5 9 11 17 21 23
0 1 2 3 5 9 12 14 18 24
0 1 2 3 5 9 13 15 19 25
0 1 2 3 6 7 10 11 16 17
0 1 2 3 6 7 12 13 14 15
0 1 2 3 6 7 18 19 24 25
0 1 2 3 6 7 20 21 22 23
0 1 2 3 6 8 10 13 19 20
0 1 2 3 6 8 11 12 18 21
0 1 2 3 6 8 14 17 23 24
0 1 2 3 6 8 15 16 22 25
0 1 2 3 6 9 10 12 23 25
0 1 2 3 6 9 11 13 22 24
0 1 2 3 6 9 14 16 19 21
0 1 2 3 6 9 15 17 18 20
0 1 2 3 7 8 10 12 22 24
0 1 2 3 7 8 11 13 23 25
0 1 2 3 7 8 14 16 18 20
0 1 2 3 7 8 15 17 19 21
0 1 2 3 7 9 10 13 18 21
0 1 2 3 7 9 11 12 19 20
0 1 2 3 7 9 14 17 22 25
0 1 2 3 7 9 15 16 23 24
0 1 2 3 8 9 10 11 14 15
0 1 2 3 8 9 12 13 16 17
0 1 2 3 8 9 18 19 22 23
0 1 2 3 8 9 20 21 24 25
0 1 2 3 10 11 18 20 23 24
0 1 2 3 10 11 19 21 22 25
0 1 2 3 10 12 14 17 20 21
0 1 2 3 10 12 15 16 18 19
0 1 2 3 10 13 14 16 24 25
0 1 2 3 10 13 15 17 22 23
0 1 2 3 11 12 14 16 22 23
0 1 2 3 11 12 15 17 24 25
0 1 2 3 11 13 14 17 18 19
0 1 2 3 11 13 15 16 20 21
0 1 2 3 12 13 18 20 22 25
0 1 2 3 12 13 19 21 23 24
0 1 2 3 14 15 18 21 23 25
0 1 2 3 14 15 19 20 22 24
0 1 2 3 16 17 18 21 22 24
0 1 2 3 16 17 19 20 23 25
0 1 2 4 5 6 10 16 19 25
0 1 2 4 5 6 11 17 18 24
0 1 2 4 5 6 12 14 21 23
0 1 2 4 5 6 13 15 20 22
0 1 2 4 5 7 10 17 21 22
0 1 2 4 5 7 11 16 20 23
0 1 2 4 5 7 12 15 19 24
0 1 2 4 5 7 13 14 18 25
0 1 2 4 5 8 10 14 20 24
0 1 2 4 5 8 11 15 21 25
0 1 2 4 5 8 12 16 18 22
0 1 2 4 5 8 13 17 19 23
0 1 2 4 5 9 10 15 18 23
0 1 2 4 5 9 11 14 19 22
0 1 2 4 5 9 12 17 20 25
0 1 2 4 5 9 13 16 21 24
