0 1 2 3 4 5 6
0 1 2 13 17 21 25
0 1 2 13 18 19 24
0 1 2 13 18 20 23
0 1 2 13 18 22 25
0 1 2 14 15 20 25
0 1 2 14 15 21 24
0 1 2 14 16 19 25
0 1 2 14 16 21 23
0 1 2 14 17 20 23
0 1 2 14 17 22 25
0 1 2 14 18 19 23
0 1 2 14 18 20 24
0 1 3 4 5 16 20
0 1 3 4 5 17 21
0 1 3 4 5 18 22
0 1 3 4 6 7 12
0 1 3 4 6 8 11
0 1 3 4 6 9 14
0 1 3 4 6 10 13
0 1 3 4 6 15 20
0 1 3 4 6 16 19
0 1 3 4 6 17 22
0 1 3 4 6 18 21
0 1 3 4 7 9 15
0 1 3 4 7 10 16
0 1 3 4 7 13 19
0 1 3 4 7 14 20
0 1 3 4 7 17 23
0 1 3 4 7 18 24
0 1 3 4 8 9 16
0 1 3 4 8 10 15
0 1 3 4 8 13 20
0 1 3 4 8 14 19
0 1 3 4 8 17 24
0 1 3 4 8 18 23
0 1 3 4 9 11 19
0 1 3 4 9 12 20
0 1 3 4 9 17 25
0 1 3 4 10 11 20
0 1 3 4 10 12 19
0 1 3 4 10 18 25
0 1 3 4 11 13 15
0 1 3 4 11 14 16
0 1 3 4 11 21 23
0 1 3 4 11 22 24
0 1 3 4 12 13 16
0 1 3 4 12 14 15
0 1 3 4 12 21 24
0 1 3 4 12 22 23
0 1 3 4 13 21 25
0 1 3 4 14 22 25
0 1 3 4 15 23 25
0 1 3 4 16 24 25
0 1 3 5 6 7 13
0 1 3 5 6 8 14
0 1 3 5 6 9 11
0 1 3 5 6 10 12
0 1 3 5 6 15 21
0 1 3 5 6 16 22
0 1 3 5 6 17 19
0 1 3 5 6 18 20
0 1 3 5 7 8 15
0 1 3 5 7 10 17
0 1 3 5 7 12 19
0 1 3 5 7 14 21
0 1 3 5 7 16 23
0 1 3 5 7 18 25
0 1 3 5 8 9 17
0 1 3 5 8 11 19
0 1 3 5 8 13 21
0 1 3 5 8 16 24
0 1 3 5 9 10 15
0 1 3 5 9 14 19
0 1 3 5 9 16 25
0 1 3 5 9 18 23
0 1 3 7 8 9 11
0 1 3 7 9 10 13
0 1 4 5 8 10 17
0 1 4 5 8 15 24
0 1 4 10 13 16 17
0 1 5 7 8 18 22
0 1 5 8 13 15 17
0 1 5 8 14 16 17
0 1 6 7 8 18 21
0 1 6 7 14 20 21
0 1 6 8 9 10 11
0 1 6 8 9 13 24
0 1 6 15 17 18 20
0 1 7 8 9 17 25
0 1 7 8 14 22 25
0 1 7 8 15 19 21
0 1 7 8 15 20 22
0 1 7 8 16 19 22
0 1 7 8 16 20 21
0 1 7 9 10 15 25
0 1 7 9 10 17 23
0 1 7 9 10 18 24
0 1 7 9 11 12 15
0 1 7 9 11 14 17
0 1 7 9 11 19 24
0 1 7 9 12 13 17
0 1 7 9 12 20 24
0 1 7 9 13 14 15
0 1 7 9 13 21 24
0 1 7 9 14 22 24
0 1 7 9 15 19 20
0 1 7 9 15 21 22
0 1 7 9 17 19 22
0 1 7 9 17 20 21
0 1 7 10 11 12 16
0 1 7 10 11 13 17
0 1 7 10 11 20 24
0 1 7 10 11 21 25
0 1 7 10 12 14 17
0 1 7 10 12 19 24
0 1 7 10 12 22 25
0 1 7 10 13 14 16
0 1 7 10 13 19 25
0 1 7 10 13 22 24
0 1 7 10 14 20 25
0 1 7 10 14 21 24
0 1 7 10 16 19 20
0 1 7 10 16 21 22
0 1 7 10 17 19 21
0 1 7 10 17 20 22
0 1 7 11 12 17 23
0 1 7 11 12 18 24
0 1 7 11 13 16 23
0 1 7 11 13 18 25
0 1 7 11 14 15 23
0 1 7 11 15 18 19
0 1 7 11 16 18 20
0 1 7 11 17 18 21
0 1 7 11 20 23 25
0 1 7 11 21 23 24
0 1 7 12 13 15 23
0 1 7 12 14 16 23
0 1 7 12 14 18 25
0 1 7 12 15 18 20
0 1 7 12 16 18 19
0 1 7 12 17 18 22
0 1 7 12 19 23 25
0 1 7 12 22 23 24
0 1 7 13 14 17 23
0 1 7 13 14 18 24
0 1 7 13 15 18 21
0 1 7 13 16 18 22
0 1 7 13 17 18 19
0 1 7 13 19 23 24
0 1 7 13 22 23 25
0 1 7 14 15 18 22
0 1 7 14 16 18 21
0 1 7 14 17 18 20
0 1 7 14 20 23 24
0 1 7 14 21 23 25
0 1 7 15 16 17 23
0 1 7 15 16 18 24
0 1 7 15 17 18 25
0 1 7 15 19 22 23
0 1 7 15 20 21 23
0 1 7 15 23 24 25
0 1 7 16 19 21 23
0 1 7 16 20 22 23
0 1 7 17 19 20 23
0 1 7 17 21 22 23
0 1 7 18 19 20 24
0 1 7 18 19 21 25
0 1 7 18 20 22 25
0 1 7 18 21 22 24
0 1 8 9 10 16 25
0 1 8 9 10 17 24
0 1 8 9 10 18 23
0 1 8 9 11 12 16
0 1 8 9 11 13 17
0 1 8 9 11 19 23
0 1 8 9 12 14 17
0 1 8 9 12 20 23
0 1 8 9 13 14 16
0 1 8 9 13 21 23
0 1 8 9 14 22 23
0 1 8 9 16 19 20
0 1 8 9 16 21 22
0 1 8 9 17 19 21
0 1 8 9 17 20 22
0 1 8 10 11 12 15
0 1 8 10 11 14 17
0 1 8 10 11 20 23
0 1 8 10 11 22 25
0 1 8 10 12 13 17
0 1 8 10 12 19 23
0 1 8 10 12 21 25
0 1 8 10 13 14 15
0 1 8 10 13 20 25
0 1 8 10 13 22 23
0 1 8 10 14 19 25
0 1 8 10 14 21 23
0 1 8 10 15 19 20
0 1 8 10 15 21 22
0 1 8 10 17 19 22
0 1 8 10 17 20 21
0 1 8 11 12 17 24
0 1 8 11 12 18 23
0 1 8 11 13 16 24
0 1 8 11 14 15 24
0 1 8 11 14 18 25
0 1 8 11 15 18 20
0 1 8 11 16 18 19
0 1 8 11 17 18 22
0 1 8 11 20 24 25
0 1 8 11 22 23 24
0 1 8 12 13 15 24
