0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 15 16 17
0 1 2 3 4 7 10 14 15
0 1 2 3 4 8 9 14 16
0 1 2 7 10 12 13 14 16
0 1 4 5 8 9 11 13 17
0 1 4 8 10 13 14 16 17
0 2 3 5 10 12 14 15 17
0 2 3 7 8 12 14 16 17
0 2 4 5 8 11 12 15 16
0 3 4 6 7 9 10 12 17
0 4 5 7 8 9 10 12 16
0 4 6 8 9 11 12 16 17
0 5 6 9 10 11 12 13 17
0 6 7 8 9 12 14 15 16
0 6 7 10 11 12 13 15 16
1 2 3 5 7 10 11 12 13
1 2 3 5 8 9 13 15 17
1 2 3 6 7 10 12 16 17
1 2 4 6 8 9 11 13 14
1 3 4 5 6 8 11 15 17
1 3 4 6 9 13 14 15 17
1 4 6 7 10 11 13 14 16
1 5 6 7 8 11 13 15 16
1 5 7 9 10 12 13 14 15
2 3 5 9 10 11 14 15 16
2 4 6 7 9 12 13 14 16
2 5 7 9 10 11 12 15 17
2 6 7 8 10 11 14 15 17
3 4 5 6 10 11 13 14 17
3 5 6 8 9 11 13 14 15
3 8 9 11 12 13 15 16 17
