0 1 2 3 4 5 6 7 8 9 10 11 12
0 1 2 3 4 5 8 10 15 16 20 21 23
0 1 2 3 4 5 11 12 13 17 20 22 23
0 1 2 3 5 7 9 11 15 17 18 21 23
0 1 2 3 5 8 9 12 15 16 17 19 22
0 1 2 3 5 10 12 13 14 15 18 21 22
0 1 2 3 6 7 8 9 13 15 20 22 23
0 1 2 3 6 8 9 11 14 16 17 18 20
0 1 2 3 6 8 10 11 13 15 17 19 21
0 1 2 3 7 9 11 12 13 14 19 20 21
0 1 2 4 6 7 8 12 14 17 19 20 23
0 1 2 4 7 8 10 11 13 14 18 20 22
0 1 2 4 7 10 11 12 15 16 17 21 22
0 1 2 5 6 9 10 12 13 14 16 20 23
0 1 2 6 7 9 10 14 15 16 18 19 21
0 1 2 13 14 15 16 17 18 19 20 22 23
0 1 3 4 6 8 10 12 15 17 18 20 22
0 1 3 4 6 9 10 11 13 16 19 20 22
0 1 3 4 7 9 12 14 16 18 20 22 23
0 1 3 5 7 8 11 13 15 16 18 19 20
0 1 3 8 9 10 11 12 18 19 21 22 23
0 1 4 5 6 7 8 11 14 15 21 22 23
0 1 4 5 6 7 10 11 13 17 18 19 23
0 1 4 5 7 8 9 12 13 15 17 20 21
0 1 4 5 8 10 11 12 13 14 16 19 21
0 1 6 7 9 11 12 13 14 15 17 18 22
0 2 3 4 7 9 10 13 15 17 18 19 22
0 2 3 4 10 12 14 16 17 18 19 20 21
0 2 4 5 6 8 9 11 16 17 19 21 23
0 2 4 5 6 8 10 12 13 15 19 22 23
0 2 4 6 9 10 11 13 15 18 20 21 23
0 2 4 7 8 9 11 12 13 14 15 16 23
0 2 5 6 7 8 10 13 16 17 20 21 22
0 2 5 6 8 11 12 14 15 18 19 20 21
0 3 4 5 7 8 11 12 14 17 18 19 22
0 3 4 5 7 9 10 12 14 15 19 21 23
0 3 4 6 7 12 13 16 17 19 21 22 23
0 3 4 8 11 13 14 15 16 17 20 21 22
0 3 5 6 7 9 11 12 15 16 20 21 22
0 3 5 6 8 9 10 14 15 16 18 22 23
0 3 5 6 9 12 13 15 17 18 19 20 23
0 3 5 7 8 9 10 11 13 14 17 20 23
1 2 4 5 6 8 10 14 16 17 18 19 22
1 2 4 5 7 9 13 15 16 19 21 22 23
1 2 5 6 7 8 11 12 16 18 20 22 23
1 2 5 8 9 11 13 17 18 19 20 21 22
1 2 8 9 10 12 14 15 17 18 20 21 23
1 3 4 5 6 10 11 12 14 18 20 21 23
1 3 4 5 9 10 11 12 13 15 16 17 18
1 3 4 6 7 8 9 10 15 16 17 19 23
1 3 4 6 7 8 12 13 14 15 18 19 21
1 3 5 6 7 9 10 12 14 17 19 20 22
1 3 5 6 8 13 14 16 17 19 20 21 23
1 3 6 7 10 11 13 15 16 18 21 22 23
1 4 6 7 9 11 12 16 17 18 19 20 21
1 7 8 10 11 12 13 15 17 19 20 22 23
2 3 4 6 7 11 14 15 17 18 20 22 23
2 3 5 6 8 9 11 12 13 14 21 22 23
2 3 7 8 9 14 16 17 18 19 21 22 23
2 4 5 6 7 9 10 12 13 14 17 18 21
2 4 5 7 8 9 10 12 15 16 18 19 20
2 6 9 10 11 12 13 16 17 18 19 22 23
4 5 10 11 15 16 17 18 19 20 21 22 23
4 6 7 8 9 10 13 14 19 20 21 22 23
