0 1 2 3 4 5 6 7 8 9
0 1 2 3 4 5 14 15 16 17
0 1 2 3 4 7 11 17 21 22
0 1 2 3 4 9 13 17 18 23
0 1 2 3 7 9 11 13 19 20
0 1 2 4 5 6 12 15 21 22
0 1 2 4 5 7 13 16 18 22
0 1 2 4 5 8 11 14 19 22
0 1 2 4 5 9 11 16 21 23
0 1 5 6 10 14 19 20 21 22
0 2 4 7 9 10 14 21 22 23
0 2 4 9 10 11 14 16 19 20
0 2 5 7 9 16 17 18 20 23
0 3 5 6 9 10 15 17 19 20
0 3 6 8 11 12 20 21 22 23
0 3 6 10 12 14 15 19 22 23
0 3 9 10 12 14 16 20 21 22
0 4 6 8 11 14 17 18 19 20
0 4 7 8 10 13 15 16 22 23
0 5 6 7 8 9 11 13 15 18
0 5 6 7 11 12 13 17 19 20
0 5 6 8 9 16 17 21 22 23
0 5 8 11 12 13 14 18 22 23
0 5 9 11 14 15 16 18 20 21
0 7 8 11 13 16 18 20 21 23
0 8 9 10 11 15 19 21 22 23
1 2 3 10 11 12 15 16 18 19
1 2 7 10 15 16 17 19 21 23
1 2 8 11 12 16 17 18 21 23
1 3 4 6 7 8 10 15 17 23
1 3 4 7 11 13 14 15 19 22
1 3 4 8 9 10 14 19 20 22
1 3 6 7 9 12 13 17 19 21
1 4 5 8 12 14 18 19 20 23
1 4 6 7 9 11 13 18 19 23
1 4 9 11 12 13 16 19 20 21
1 5 6 8 9 10 11 12 14 22
1 5 7 9 10 14 15 18 21 23
1 5 9 10 12 15 16 17 20 21
1 6 7 8 13 16 17 18 21 22
1 6 8 9 13 14 15 17 18 23
1 6 10 11 12 13 14 16 17 20
2 3 4 5 6 11 13 16 17 18
2 3 4 5 7 9 17 18 19 22
2 3 4 6 8 9 12 15 16 17
2 3 4 12 13 14 15 16 18 22
2 3 6 9 10 15 17 18 22 23
2 3 11 14 15 16 19 20 21 23
2 4 5 7 8 11 13 19 20 23
2 4 7 8 10 11 12 15 17 18
2 6 7 10 12 14 15 16 18 21
2 6 8 12 13 14 17 18 20 21
2 8 9 10 12 14 15 16 22 23
2 8 10 13 15 16 17 18 19 22
3 4 5 8 10 12 13 15 19 22
3 5 6 7 10 12 14 17 21 22
3 5 7 8 11 13 14 17 18 20
3 5 7 12 15 18 19 20 21 22
3 6 7 9 10 12 15 20 21 23
3 6 13 14 15 17 18 19 20 22
3 7 12 13 14 16 17 20 21 23
4 5 6 8 10 11 12 13 16 21
4 6 10 11 12 13 19 20 22 23
5 7 8 9 10 16 19 20 21 23
