0 1 2 3 4
0 2 16 19 22
0 2 24 27 30
0 3 5 9 13
0 3 7 11 15
0 3 22 27 29
0 5 22 26 31
0 8 17 27 31
0 10 11 17 26
0 12 14 22 24
1 2 5 9 14
1 2 6 8 13
1 3 13 15 17
1 3 22 23 31
1 4 12 16 19
1 6 15 18 25
1 6 24 28 30
1 8 21 25 26
1 10 19 24 31
2 4 20 22 28
2 7 12 20 27
2 8 15 20 25
2 10 11 19 21
2 11 13 24 28
3 7 13 23 29
3 8 20 22 30
3 9 14 16 23
3 13 14 21 31
4 5 13 19 25
4 6 18 21 29
4 7 18 24 30
4 7 19 26 27
4 10 13 15 26
4 11 12 17 25
4 16 18 23 31
5 6 22 25 30
5 9 17 18 30
5 9 19 24 27
5 10 15 23 25
5 10 17 28 31
5 12 14 23 30
6 7 12 15 29
6 8 19 25 29
6 9 18 20 28
6 11 20 22 29
6 12 27 28 31
7 8 23 25 31
7 9 17 21 29
7 11 17 20 28
7 16 24 29 31
8 9 13 18 21
8 10 14 19 26
8 12 20 23 28
9 11 21 24 30
9 16 18 26 29
10 11 14 15 27
10 16 23 26 28
10 18 21 22 26
11 12 16 23 27
12 14 17 18 21
13 15 20 21 24
14 16 19 20 27
14 16 28 29 30
15 17 25 26 30
