0 1 2 3 4 5
0 1 2 3 6 7
0 1 2 3 8 9
0 1 2 3 10 11
0 1 2 3 12 13
0 1 2 3 14 15
0 1 2 4 6 8
0 1 2 4 7 9
0 1 2 4 10 12
0 1 2 4 11 13
0 1 2 5 6 9
0 1 2 5 7 8
0 1 2 5 10 13
0 1 2 5 11 12
0 1 2 6 10 14
0 1 2 6 11 15
0 1 2 7 10 15
0 1 2 7 11 14
0 1 2 8 12 14
0 1 2 8 13 15
0 1 2 9 12 15
0 1 2 9 13 14
0 1 3 4 6 9
0 1 3 4 7 8
0 1 3 4 10 13
0 1 3 4 11 12
0 1 3 5 6 8
0 1 3 5 7 9
0 1 3 5 10 12
0 1 3 5 11 13
0 1 3 6 10 15
0 1 3 6 11 14
0 1 3 7 10 14
0 1 3 7 11 15
0 1 3 8 12 15
0 1 3 8 13 14
0 1 3 9 12 14
0 1 3 9 13 15
0 1 4 5 6 7
0 1 4 5 8 9
0 1 4 5 10 11
0 1 4 5 12 13
0 1 4 5 14 15
0 1 4 6 12 14
0 1 4 6 13 15
0 1 4 7 12 15
0 1 4 7 13 14
0 1 4 8 10 14
0 1 4 8 11 15
0 1 4 9 10 15
0 1 4 9 11 14
0 1 5 6 12 15
0 1 5 6 13 14
0 1 5 7 12 14
0 1 5 7 13 15
0 1 5 8 10 15
0 1 5 8 11 14
0 1 5 9 10 14
0 1 5 9 11 15
0 1 6 7 10 11
0 1 6 7 14 15
0 1 6 8 10 12
0 1 6 8 11 13
0 1 6 9 10 13
0 2 3 4 6 10
0 2 3 4 7 11
0 2 3 4 8 12
0 4 5 7 9 14
0 4 5 10 12 14
0 4 5 10 13 15
0 4 5 11 12 15
0 4 5 11 13 14
0 4 6 7 8 12
0 4 6 7 9 13
0 4 6 8 9 10
0 4 6 10 12 13
0 4 6 10 14 15
0 4 7 8 9 11
0 4 7 11 12 13
0 4 7 11 14 15
0 4 8 10 11 12
0 4 8 12 14 15
0 4 9 10 11 13
0 4 9 13 14 15
0 5 6 7 8 13
0 5 6 7 9 12
0 5 6 8 9 11
0 5 6 11 12 13
0 5 6 11 14 15
0 6 8 12 13 14
0 6 9 10 11 15
0 6 9 12 13 15
0 7 8 10 11 15
0 7 8 12 13 15
0 7 9 10 11 14
0 8 9 11 12 15
1 2 5 6 7 14
1 2 5 8 9 14
1 2 5 10 11 14
1 2 5 12 13 14
1 2 6 7 8 11
1 2 6 7 9 10
1 2 6 8 9 13
1 2 6 10 11 13
1 2 6 13 14 15
1 2 7 8 9 12
1 2 8 11 12 13
1 2 8 11 14 15
1 2 9 10 14 15
1 3 4 5 6 12
1 3 4 8 9 14
1 3 4 10 11 14
1 3 4 12 13 14
1 3 5 8 9 15
1 3 5 10 11 15
1 3 8 10 14 15
1 4 5 7 8 14
1 4 5 11 13 15
1 4 9 12 14 15
1 5 7 11 14 15
1 6 7 11 13 15
1 6 9 10 11 14
1 7 8 10 11 14
1 7 8 12 13 14
1 7 9 10 11 15
1 7 9 12 13 15
1 8 9 10 13 14
1 8 9 11 12 14
2 3 4 5 6 7
2 3 4 5 10 11
2 3 4 5 12 13
2 3 4 6 12 14
2 3 4 7 12 15
2 3 4 9 10 15
2 3 4 9 11 14
2 3 5 6 12 15
2 3 5 7 12 14
2 3 5 7 13 15
2 3 5 8 10 15
2 3 5 8 11 14
2 3 5 9 10 14
2 3 5 9 11 15
2 3 6 7 10 11
