0 1 2 3 4 5 6 7
7 8 12 14 16 19 22 24
7 8 12 14 16 19 22 25
7 8 12 14 16 19 23 24
7 8 12 14 16 19 23 25
7 8 12 14 16 19 24 25
7 8 12 14 16 20 21 22
7 8 12 14 16 20 21 23
7 8 12 14 16 20 21 24
7 8 12 14 16 20 21 25
7 8 12 14 16 20 22 23
7 8 12 14 16 20 22 24
7 8 12 14 16 20 22 25
7 8 12 14 16 20 23 24
7 8 12 14 16 20 23 25
7 8 12 14 16 20 24 25
7 8 12 14 16 21 22 23
7 8 12 14 16 21 22 24
7 8 12 14 16 21 22 25
7 8 12 14 16 21 23 24
7 8 12 14 16 21 23 25
7 8 12 14 16 21 24 25
7 8 12 14 16 22 23 24
7 8 12 14 16 22 23 25
7 8 12 14 16 22 24 25
7 8 12 14 16 23 24 25
7 8 12 14 17 18 19 20
7 8 12 14 17 18 19 21
7 8 12 14 17 18 19 22
7 8 12 14 17 18 19 23
7 8 12 14 17 18 19 24
7 8 12 14 17 18 19 25
7 8 12 14 17 18 20 21
7 8 12 14 17 18 20 22
7 8 12 14 17 18 20 23
7 8 12 14 17 18 20 24
7 8 12 14 17 18 20 25
7 8 12 14 17 18 21 22
7 8 12 14 17 18 21 23
7 8 12 14 17 18 21 24
7 8 12 14 17 18 21 25
7 8 12 14 17 18 22 23
7 8 12 14 17 18 22 24
7 8 12 14 17 18 22 25
7 8 12 14 17 18 23 24
7 8 12 14 17 18 23 25
7 8 12 14 17 18 24 25
7 8 12 14 17 19 20 21
7 8 12 14 17 19 20 22
7 8 12 14 17 19 20 23
7 8 12 14 17 19 20 24
7 8 12 14 17 19 20 25
7 8 12 14 17 19 21 22
7 8 12 14 17 19 21 23
7 8 12 14 17 19 21 24
7 8 12 14 17 19 21 25
7 8 12 14 17 19 22 23
7 8 12 14 17 19 22 24
7 8 12 14 17 19 22 25
7 8 12 14 17 19 23 24
7 8 12 14 17 19 23 25
7 8 12 14 17 19 24 25
7 8 12 14 17 20 21 22
7 8 12 14 17 20 21 23
7 8 12 14 17 20 21 24
7 8 12 14 17 20 21 25
7 8 12 14 17 20 22 23
7 8 12 14 17 20 22 24
7 8 12 14 17 20 22 25
7 8 12 14 17 20 23 24
7 8 12 14 17 20 23 25
7 8 12 14 17 20 24 25
7 8 12 14 17 21 22 23
7 8 12 14 17 21 22 24
7 8 12 14 17 21 22 25
7 8 12 14 17 21 23 24
7 8 12 14 17 21 23 25
7 8 12 14 17 21 24 25
7 8 12 14 17 22 23 24
7 8 12 14 17 22 23 25
7 8 12 14 17 22 24 25
7 8 12 14 17 23 24 25
7 8 12 14 18 19 20 21
7 8 12 14 18 19 20 22
7 8 12 14 18 19 20 23
7 8 12 14 18 19 20 24
7 8 12 14 18 19 20 25
7 8 12 14 18 19 21 22
7 8 12 14 18 19 21 23
7 8 12 14 18 19 21 24
7 8 12 14 18 19 21 25
7 8 12 14 18 19 22 23
7 8 12 14 18 19 22 24
7 8 12 14 18 19 22 25
7 8 12 14 18 19 23 24
7 8 12 14 18 19 23 25
7 8 12 14 18 19 24 25
7 8 12 14 18 20 21 22
7 8 12 14 18 20 21 23
7 8 12 14 18 20 21 24
7 8 12 14 18 20 21 25
7 8 12 14 18 20 22 23
7 8 12 14 18 20 22 24
7 8 12 14 18 20 22 25
7 8 12 14 18 20 23 24
7 8 12 14 18 20 23 25
7 8 12 14 18 20 24 25
7 8 12 14 18 21 22 23
7 8 12 14 18 21 22 24
7 8 12 14 18 21 22 25
7 8 12 14 18 21 23 24
7 8 12 14 18 21 23 25
7 8 12 14 18 21 24 25
7 8 12 14 18 22 23 24
7 8 12 14 18 22 23 25
7 8 12 14 18 22 24 25
7 8 12 14 18 23 24 25
7 8 12 14 19 20 21 22
7 8 12 14 19 20 21 23
7 8 12 14 19 20 21 24
7 8 12 14 19 20 21 25
7 8 12 14 19 20 22 23
7 8 12 14 19 20 22 24
7 8 12 14 19 20 22 25
7 8 12 14 19 20 23 24
7 8 12 14 19 20 23 25
7 8 12 14 19 20 24 25
7 8 12 14 19 21 22 23
7 8 12 14 19 21 22 24
7 8 12 14 19 21 22 25
7 8 12 14 19 21 23 24
7 8 12 14 19 21 23 25
7 8 12 14 19 21 24 25
7 8 12 14 19 22 23 24
7 8 12 14 19 22 23 25
7 8 12 14 19 22 24 25
7 8 12 14 19 23 24 25
7 8 12 14 20 21 22 23
7 8 12 14 20 21 22 24
7 8 12 14 20 21 22 25
7 8 12 14 20 21 23 24
7 8 12 14 20 21 23 25
7 8 12 14 20 21 24 25
7 8 12 14 20 22 23 24
7 8 12 14 20 22 23 25
7 8 12 14 20 22 24 25
7 8 12 14 20 23 24 25
7 8 12 14 21 22 23 24
7 8 12 14 21 22 23 25
7 8 12 14 21 22 24 25
7 8 12 14 21 23 24 25
