0 1 2 3 4
0 1 11 12 13
0 1 14 15 16
0 1 17 18 19
0 2 6 9 12
0 3 6 8 14
0 3 7 11 15
0 3 10 12 16
0 4 5 10 14
0 4 6 11 16
0 4 7 8 12
0 4 9 15 17
0 5 12 15 18
0 6 10 15 19
0 7 9 14 18
0 8 13 16 17
1 2 5 9 14
1 2 7 11 16
1 2 10 12 15
1 3 6 9 11
1 3 7 10 14
1 3 13 15 17
1 4 5 11 15
1 4 6 10 17
1 4 7 9 13
1 4 8 14 18
1 4 12 16 19
1 5 10 13 16
1 7 8 15 19
2 3 5 6 10
2 3 7 8 9
2 3 11 12 14
2 3 13 16 18
2 4 5 7 17
2 4 6 14 15
2 4 8 10 16
2 4 9 11 18
2 5 12 13 19
2 6 7 18 19
2 8 12 17 18
2 9 10 17 19
3 4 5 18 19
3 4 6 12 13
3 4 8 11 17
3 4 9 14 16
3 6 7 16 17
3 8 10 13 19
3 9 10 15 18
4 5 6 8 9
4 7 10 11 19
4 7 15 16 18
4 13 14 17 19
5 6 11 12 17
5 6 13 14 18
5 7 8 10 18
5 7 9 12 16
5 8 14 15 17
5 11 14 16 19
6 8 11 15 18
6 9 13 15 16
7 8 11 13 14
8 9 11 12 19
9 10 12 13 14
10 11 13 17 18
