0 1 2
0 2 3
0 2 11
0 2 21
0 3 16
0 5 16
0 7 15
0 7 16
0 7 17
0 7 18
0 7 20
0 7 21
0 9 11
0 9 13
0 9 15
0 9 16
0 9 17
0 9 19
0 9 21
0 10 11
0 10 12
0 10 13
0 10 15
0 10 16
0 10 17
0 10 18
0 10 19
0 10 21
0 11 12
0 11 13
0 11 14
0 11 15
0 13 16
0 13 21
1 5 20
1 7 14
1 7 15
1 7 17
1 7 19
1 7 20
1 8 21
1 9 10
1 9 11
1 9 12
1 9 14
1 9 15
1 9 17
1 9 18
1 10 11
1 10 12
1 10 13
1 10 14
1 11 16
1 11 17
1 11 18
1 11 19
1 11 20
1 11 21
1 12 13
1 12 14
1 13 17
1 14 15
1 14 16
1 14 18
1 14 19
1 14 20
1 18 20
2 4 17
2 5 18
2 6 21
2 7 9
2 7 11
2 7 12
2 7 13
2 7 14
2 7 15
2 7 17
2 7 18
2 7 19
2 8 11
2 8 12
2 8 13
2 8 14
2 8 16
2 8 18
2 8 20
2 8 21
2 9 11
2 9 12
2 10 11
2 10 12
2 12 17
2 15 19
2 16 17
2 16 20
2 19 20
2 19 21
2 20 21
3 4 5
3 4 8
3 4 16
3 5 8
3 5 20
3 5 21
3 6 8
3 6 12
3 6 14
3 6 17
3 6 18
3 6 20
3 8 11
3 8 12
3 8 15
3 8 16
3 8 17
3 8 18
3 8 19
3 8 20
3 8 21
3 10 21
3 12 15
3 12 16
3 12 17
3 12 18
3 12 20
3 13 17
3 13 18
3 13 19
3 14 15
3 14 16
3 18 20
4 5 8
4 6 16
4 6 17
4 6 18
4 7 15
4 7 17
4 10 11
4 10 12
4 10 13
4 10 14
4 10 15
4 10 16
4 10 17
4 10 18
4 11 16
4 11 18
4 11 19
4 11 20
4 12 17
4 12 19
4 15 21
4 16 17
4 16 19
4 16 20
4 16 21
4 17 18
4 17 21
4 18 20
4 18 21
4 19 21
4 20 21
5 6 14
5 6 15
5 6 16
5 6 19
5 6 20
5 6 21
5 11 12
5 11 13
5 13 16
5 13 17
5 13 18
5 13 19
5 13 21
5 14 15
5 14 17
5 14 18
5 14 19
5 14 20
5 14 21
5 15 21
5 16 20
5 16 21
5 17 18
5 17 19
5 17 21
5 18 20
5 19 20
6 7 19
6 8 12
6 8 13
6 8 14
6 8 15
6 8 17
6 8 19
6 8 21
6 10 18
6 11 18
6 11 19
6 11 20
6 12 14
6 13 19
6 15 19
6 16 19
6 17 21
6 18 21
6 19 20
7 10 11
7 10 12
7 10 15
7 11 15
7 12 15
7 12 19
7 13 15
7 13 19
7 14 15
7 14 19
7 15 19
7 15 20
8 15 17
8 15 18
8 16 17
8 17 20
8 18 20
8 19 20
9 10 13
9 12 15
9 12 21
9 13 15
9 13 16
9 13 17
9 13 18
9 13 19
9 13 20
9 14 15
9 14 19
9 14 20
9 14 21
9 15 18
9 15 19
9 16 17
9 16 18
9 16 20
10 11 21
10 12 13
10 12 15
10 12 16
10 12 17
11 14 20
11 18 21
12 13 16
12 14 21
13 14 18
13 16 18
14 20 21
