0 1 2 3
0 1 3 13
0 1 5 8
0 1 12 15
0 1 12 16
0 1 12 19
0 1 13 16
0 2 3 17
0 2 4 21
0 2 5 6
0 2 6 9
0 3 4 12
0 3 6 18
0 3 7 16
0 3 8 10
0 3 10 19
0 3 15 20
0 4 11 12
0 5 6 13
0 5 6 17
0 5 6 19
0 5 7 11
0 5 9 18
0 5 11 14
0 5 11 17
0 6 7 12
0 6 7 20
0 6 8 16
0 6 10 18
0 7 11 12
0 7 12 21
0 7 18 19
0 7 18 20
0 7 18 21
0 7 19 20
0 7 19 21
0 8 9 20
0 8 10 19
0 8 10 20
0 8 10 21
0 8 11 12
0 8 11 13
0 8 11 14
0 8 11 16
0 8 11 17
0 8 11 18
0 8 11 20
0 8 11 21
0 8 12 13
0 8 12 14
0 8 12 15
0 8 12 17
0 8 12 18
0 8 12 19
0 8 12 20
0 8 12 21
0 8 13 14
0 8 13 15
0 8 13 16
0 8 13 17
0 8 13 19
0 8 13 20
0 8 13 21
0 8 14 15
0 8 14 16
0 8 14 17
0 8 14 18
0 8 14 20
0 8 15 16
0 8 15 17
0 8 15 19
0 8 15 20
0 8 15 21
0 9 10 13
0 9 13 21
0 9 15 18
0 9 17 20
0 10 11 17
0 10 11 18
0 10 11 19
0 10 11 20
0 10 11 21
0 10 12 15
0 10 12 20
0 11 12 14
0 11 12 17
0 11 19 21
0 12 14 21
0 12 15 16
0 12 16 17
0 13 14 16
0 13 15 17
0 13 19 21
0 13 20 21
1 2 9 11
1 2 11 21
1 3 4 11
1 3 7 18
1 3 9 18
1 3 11 13
1 3 11 21
1 3 14 15
1 3 20 21
1 4 8 21
1 4 9 16
1 4 13 16
1 5 9 20
1 5 10 20
1 5 12 21
1 5 16 20
1 5 19 21
1 6 7 18
1 6 7 21
1 6 11 13
1 6 13 14
1 6 13 16
1 6 13 18
1 6 13 19
1 6 13 20
1 6 13 21
1 6 14 15
1 6 14 17
1 6 14 18
1 6 14 19
1 6 14 20
1 6 14 21
1 6 15 16
1 6 15 17
1 6 15 18
1 6 15 19
1 6 15 20
1 6 15 21
1 6 16 20
1 6 17 19
1 6 18 20
1 6 18 21
1 6 19 20
1 6 19 21
1 6 20 21
1 7 8 9
1 7 8 10
1 7 8 11
1 7 8 12
1 7 8 14
1 7 8 16
1 7 8 17
1 7 8 18
1 7 8 19
1 7 8 20
1 7 8 21
1 7 9 10
1 7 9 12
1 7 9 13
1 7 9 17
1 7 10 16
1 7 10 17
1 7 11 12
1 7 11 13
1 7 11 14
1 7 11 15
1 7 11 16
1 7 11 17
1 7 11 18
1 7 11 19
1 7 11 20
1 7 11 21
1 8 10 11
1 9 11 19
1 10 13 21
1 10 14 20
1 10 19 21
1 11 12 13
1 11 13 20
1 12 13 14
1 12 13 16
1 12 13 17
1 13 16 17
1 13 18 19
1 15 19 20
1 16 18 19
1 16 19 21
2 3 4 15
2 3 5 20
2 3 6 8
2 3 8 9
2 3 9 11
2 3 9 12
2 3 9 15
2 3 11 17
2 3 11 20
2 3 12 15
2 3 18 19
2 3 18 20
2 3 18 21
2 3 19 20
2 3 19 21
2 3 20 21
2 4 5 17
2 4 9 16
2 4 10 14
2 4 10 20
2 4 14 16
2 5 7 14
2 5 9 15
2 5 9 16
2 5 12 17
2 5 12 19
2 5 13 16
2 5 13 17
2 5 13 20
2 5 14 16
2 5 16 20
2 5 17 20
2 5 18 21
2 6 7 16
2 6 8 18
2 6 9 16
2 6 10 15
2 6 10 16
2 6 10 20
2 6 12 15
2 6 12 16
2 7 8 12
2 7 9 18
2 7 12 18
2 7 13 14
2 7 15 19
2 7 17 19
2 7 17 21
2 8 10 21
2 8 12 16
2 8 12 18
2 8 15 21
2 8 17 19
2 10 12 17
2 10 14 17
2 10 16 19
2 10 16 21
2 10 19 21
2 10 20 21
2 11 15 18
2 11 15 19
2 11 18 19
2 11 18 20
2 12 13 14
2 12 13 16
2 12 16 18
2 12 18 19
2 13 17 21
2 13 18 19
2 13 18 21
2 13 20 21
2 14 15 17
2 14 15 18
2 14 15 19
2 14 15 20
2 14 15 21
2 14 18 19
2 14 18 20
2 14 18 21
2 15 16 18
2 16 17 19
2 16 17 21
2 16 18 20
2 16 18 21
2 18 19 20
2 18 19 21
3 4 5 12
3 4 5 16
3 4 11 21
3 4 12 18
3 4 13 15
3 4 13 18
3 4 13 21
3 4 14 18
3 4 17 18
3 4 18 19
3 4 18 21
3 5 11 14
3 5 17 21
3 5 18 19
3 6 10 11
3 6 11 18
3 6 12 18
3 6 15 18
3 6 18 19
3 7 8 11
3 7 10 11
3 7 12 20
3 7 13 16
3 7 13 20
3 7 15 16
3 7 15 19
3 7 16 20
3 8 11 20
3 9 10 11
3 9 10 12
3 9 10 21
3 9 20 21
3 10 11 13
3 10 12 13
3 10 13 15
3 10 13 17
3 10 15 20
3 10 17 18
3 11 13 14
3 11 13 15
3 11 13 20
3 11 14 19
3 11 15 17
3 11 15 20
3 11 16 17
3 11 17 18
3 11 18 19
3 12 14 15
3 12 15 17
3 13 14 15
3 13 15 17
3 13 15 19
3 13 15 21
3 13 16 17
3 13 17 21
3 13 20 21
3 14 15 17
3 15 18 21
3 16 17 18
3 16 17 21
3 16 18 19
4 5 8 16
4 5 10 11
4 5 10 18
4 5 12 15
4 5 14 18
4 5 16 17
4 5 17 18
4 6 10 18
4 6 14 20
4 6 15 17
4 6 15 18
4 6 16 17
4 7 8 9
4 7 8 15
4 7 8 19
4 7 9 12
4 7 9 15
4 7 9 16
4 7 9 17
4 7 9 19
4 7 9 20
4 7 10 11
4 7 12 15
4 7 14 20
4 7 15 17
4 8 9 11
4 8 9 13
4 8 15 20
4 8 17 19
4 9 10 11
4 9 10 12
4 9 10 14
4 9 10 15
4 9 10 16
4 9 10 19
4 9 10 21
