0 1 2 3 4
0 1 2 5 6
0 1 2 7 8
0 1 2 9 10
0 1 2 11 12
0 1 2 15 16
0 1 2 17 18
0 1 2 19 20
0 1 3 5 7
0 1 3 6 8
0 1 3 9 11
0 1 3 13 15
0 1 3 17 19
0 1 3 18 20
0 1 4 5 8
0 1 4 6 7
0 1 4 9 12
0 1 4 10 11
0 1 4 13 16
0 1 4 14 15
0 1 4 17 20
0 1 4 18 19
0 1 5 9 13
0 1 5 10 14
0 1 5 11 15
0 1 5 12 16
0 1 5 17 21
0 1 6 9 14
0 1 6 10 13
0 1 6 11 16
0 1 6 12 15
0 1 6 18 21
0 1 7 9 15
0 1 7 10 16
0 1 7 11 13
0 1 7 12 14
0 1 7 19 21
0 1 8 9 16
0 1 8 10 15
0 1 8 11 14
0 1 8 12 13
0 1 8 20 21
0 2 3 5 8
0 2 3 6 7
0 2 3 9 12
0 2 3 10 11
0 2 3 13 16
0 2 3 14 15
0 2 3 17 20
0 2 3 18 19
0 2 4 5 7
0 2 4 6 8
0 2 4 9 11
0 2 4 10 12
0 2 4 13 15
0 2 4 17 19
0 2 4 18 20
0 2 5 10 13
0 2 5 11 16
0 2 5 12 15
0 2 5 18 21
0 2 6 9 13
0 2 6 10 14
0 2 6 11 15
0 2 6 12 16
0 2 6 17 21
0 2 7 9 16
0 3 4 5 6
0 3 4 7 8
0 3 4 9 10
0 3 4 11 12
0 3 4 13 14
0 3 4 17 18
0 3 4 19 20
0 3 5 9 15
0 3 5 19 21
0 4 5 9 16
0 4 5 10 15
0 4 7 11 16
0 4 8 17 21
0 5 7 9 11
0 5 8 18 19
0 9 10 13 14
0 9 10 15 16
0 9 10 17 18
0 9 10 19 20
0 9 11 13 15
0 9 11 14 16
0 9 11 17 19
0 9 11 18 20
0 9 12 13 16
0 9 12 14 15
0 9 12 17 20
0 9 12 18 19
0 9 13 17 21
0 9 14 18 21
0 9 15 19 21
0 9 16 20 21
0 10 11 13 16
0 10 11 14 15
0 10 11 17 20
0 10 11 18 19
0 10 12 13 15
0 10 12 14 16
0 10 12 17 19
0 10 12 18 20
0 10 13 18 21
0 10 14 17 21
0 10 15 20 21
0 13 14 17 18
0 13 14 19 20
0 13 15 17 19
0 13 15 18 20
0 13 16 17 20
0 14 15 17 20
0 14 16 18 20
0 15 16 19 20
1 2 3 5 9
1 2 3 6 10
1 2 3 7 11
1 2 3 8 12
1 2 3 13 17
1 2 3 14 18
1 2 3 16 20
1 2 4 5 10
1 2 4 6 9
1 2 4 7 12
1 2 4 8 11
1 2 4 13 18
1 2 4 14 17
1 2 4 15 20
1 2 4 16 19
1 2 5 7 13
1 2 5 8 14
1 2 5 11 17
1 2 5 12 18
1 2 5 15 21
1 2 6 7 14
1 2 6 8 13
1 2 6 11 18
1 2 6 12 17
1 2 6 16 21
1 2 7 9 17
1 2 8 9 18
1 2 8 10 17
1 2 9 11 13
1 2 9 12 14
1 3 4 5 11
1 3 4 6 12
1 3 4 7 9
1 3 4 8 10
1 3 4 13 19
1 3 4 14 20
1 3 4 15 17
1 4 5 12 20
1 4 7 10 20
1 4 11 12 14
1 4 11 19 21
1 5 6 7 9
1 5 6 16 18
1 5 7 10 21
1 6 10 18 19
1 6 12 13 14
1 6 12 19 20
1 6 13 19 21
1 6 14 20 21
1 7 8 15 17
1 7 8 16 18
1 7 9 11 12
1 7 9 13 14
1 7 9 19 20
1 7 11 14 15
1 7 11 18 19
1 7 12 13 15
1 7 12 18 20
1 7 13 18 21
1 7 15 20 21
1 8 10 11 12
1 8 10 13 14
1 8 10 19 20
1 8 11 13 15
1 8 14 18 21
1 8 15 19 21
1 9 10 15 17
1 10 17 19 21
1 11 17 18 21
1 13 15 16 19
1 14 15 16 20
1 14 17 18 20
1 15 17 19 20
1 16 18 19 20
2 3 5 6 14
2 3 5 13 21
2 3 8 10 19
2 3 8 11 18
2 3 8 16 21
2 3 9 10 14
2 3 10 12 15
2 4 5 8 15
2 4 6 10 18
2 4 6 12 20
2 4 7 8 13
2 4 8 10 20
2 4 8 12 18
2 5 6 12 21
2 5 7 8 12
2 6 7 8 11
2 6 13 20 21
2 6 14 19 21
2 7 8 15 18
2 7 10 11 12
2 7 11 13 15
2 7 12 17 20
2 7 13 17 21
2 7 15 19 21
2 8 9 11 12
2 8 9 13 14
2 8 9 19 20
2 8 12 13 15
2 8 12 17 19
2 8 14 17 21
2 8 15 20 21
2 9 10 16 17
2 9 11 14 18
2 9 12 13 18
2 9 12 16 19
2 9 14 16 21
2 9 18 20 21
2 10 12 14 18
2 10 12 16 20
2 10 13 16 21
2 10 18 19 21
2 11 12 15 18
2 11 12 16 17
2 12 15 16 21
2 12 17 18 21
2 13 14 15 18
2 13 14 16 17
2 13 15 16 20
2 13 17 18 20
2 14 15 16 19
2 14 17 18 19
2 15 18 19 20
2 16 17 19 20
3 4 5 8 14
3 4 7 12 20
3 4 8 12 19
3 4 9 12 14
3 4 10 12 13
3 4 11 17 21
3 5 6 8 12
3 5 6 9 21
3 5 6 15 19
3 5 6 16 20
3 5 7 12 21
3 5 8 13 19
3 5 8 16 18
3 5 9 17 18
3 5 11 14 15
3 5 11 17 20
3 5 12 13 15
3 5 12 18 20
3 6 7 8 10
3 6 7 13 19
3 6 7 16 18
3 6 8 14 19
3 6 8 16 17
3 6 10 11 12
3 6 10 13 14
3 6 10 17 18
3 6 11 13 15
3 6 11 18 20
3 6 12 14 15
3 6 12 17 20
3 6 13 17 21
3 6 14 18 21
3 7 8 15 19
3 7 8 16 20
3 7 9 10 11
3 7 9 17 20
3 7 10 13 15
3 7 10 18 20
3 7 11 13 14
3 7 11 17 18
3 7 15 18 21
3 8 9 10 12
3 8 9 13 15
3 8 9 18 20
3 8 10 14 15
3 8 10 17 20
3 8 14 20 21
3 8 15 17 21
3 9 10 16 20
3 9 11 14 19
3 9 11 16 17
3 9 12 13 19
3 9 12 16 18
3 9 15 16 21
3 9 19 20 21
3 10 11 13 19
3 10 11 16 18
3 10 12 14 19
3 10 12 16 17
3 11 12 15 19
3 11 12 16 20
3 11 13 16 21
3 11 18 19 21
3 12 14 16 21
3 12 17 19 21
3 13 14 15 19
3 13 14 16 20
3 13 15 16 17
3 13 17 19 20
3 14 15 16 18
3 14 18 19 20
3 15 17 18 19
4 5 6 7 12
4 5 6 8 11
4 5 6 10 21
4 5 6 15 20
4 5 6 16 19
4 5 7 8 10
4 5 7 11 21
4 5 7 14 20
4 5 8 13 20
4 5 8 16 17
4 5 10 11 12
4 5 10 13 14
4 5 10 17 18
4 5 11 13 15
4 5 11 17 19
4 5 12 14 15
4 5 12 18 19
4 6 7 13 20
4 6 7 16 17
4 6 8 14 20
4 6 9 11 12
4 6 11 18 19
4 6 12 17 19
4 6 13 18 21
4 6 14 17 21
4 7 8 15 20
4 7 8 16 19
4 7 9 10 12
4 7 9 17 19
4 7 10 14 15
4 7 12 13 14
4 7 12 17 18
4 7 13 19 21
4 7 15 17 21
4 8 9 10 11
4 8 9 18 19
4 8 10 17 19
4 8 11 13 14
4 8 11 17 18
4 8 14 19 21
4 8 15 18 21
4 9 11 14 20
4 9 11 16 18
4 10 11 13 20
